ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
28,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,6,0.005666666666666667,1,1.3,,,,,0.4,,,,,300.0,,,,,0.2066,,,,,Normal,,,,
29,HVAC - HVAC in-line Coils,PFA,NS,6,0.0016666666666666668,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
30,HVAC - VAV Boxes,PFA,NS,6,0.002,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
31,HVAC - Fan Coil Unis,PFA,NS,6,0.006,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
32,Piping - Steam & Chilled Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0,2,0.55,1.1,,,,0.5,0.5,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
33,Piping - Steam & Chilled Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0005080000000000001,2,1.5,2.6,,,,0.5,0.5,,,,1.1482939632545932,10.990813648293964,,,,0.6488,0.4038,,,,Lognormal,Lognormal,,,
34,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0035560000000000006,2,0.55,1.1,,,,0.5,0.5,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
35,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0015240000000000002,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6488,0.4038,,,,Lognormal,Lognormal,,,
36,Electrical - Motor Control Centers,PFA,NS,5,1.3333333333333335e-05,1,0.73,,,,,0.45,,,,,4150.0,,,,,0.1826,,,,,Normal,,,,
37,Electrical - Transformers < 100kVA,PFA,NS,5,0.0001,1,1.01,,,,,0.6,,,,,7575.0,,,,,0.1875,,,,,Lognormal,,,,
38,Electrical - Distribution Panel,PFA,NS,5,3.3333333333333335e-05,1,2.16,,,,,0.45,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
39,Electrical - Wall mounted switchgear,PFA,NS,5,0.0003,1,1.28,,,,,0.4,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
40,Electrical - Lighting Fixtures – Lay in fluorescent ,PFA,NS,5,0.01,1,0.6,,,,,0.4,,,,,495.0,,,,,0.6369,,,,,Lognormal,,,,
41,Electrical - Lighting Fixtures – Stem hung fluorescent,PFA,NS,5,0.01,1,0.6,,,,,0.4,,,,,495.0,,,,,0.6369,,,,,Lognormal,,,,
42,Electrical - Standby generators,PFA,NS,5,0.0,4,0.9,0.9,0.9,0.9,,0.4,0.4,0.4,0.4,,200.0,2500.0,500.0,500.0,,0.1713,0.1705,0.1673,0.1673,,Lognormal,Lognormal,Lognormal,Lognormal,
43,Fire Protection - Sprinkler Piping  ,PFA,NS,8,0.0,2,1.1,2.4,,,,0.4,0.5,,,,1.1482939632545932,8.694225721784777,,,,0.6488,0.4054,,,,Lognormal,Lognormal,,,
44,Fire Protection - Sprinkler Drops,PFA,NS,8,0.0,2,0.75,0.95,,,,0.4,0.4,,,,5.0,5.0,,,,0.3665,0.3665,,,,Lognormal,Lognormal,,,
45,External Partitioning - Masonry Infills,PSD,NS,2,0.0,4,0.000992,0.004092,0.012028,0.021328,,0.8,0.4,0.4,0.4,,51.3,73.5,199.9,234.0,,0.55,0.55,0.55,0.55,,Lognormal,Lognormal,Lognormal,Lognormal,
46,Internal Partitioning - Masonry Infills,PSD,NS,1,0.0,4,0.000992,0.004092,0.012028,0.021328,,0.8,0.4,0.4,0.4,,51.3,73.5,199.9,234.0,,0.55,0.55,0.55,0.55,,Lognormal,Lognormal,Lognormal,Lognormal,
