Region,Building Class,Occupancy,DV,AV,,,,,,,,,
1,CR_LDUAL+CDL+DUM+VL100_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUM+VL100_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H11,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H12,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUL_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H10_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H11,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H11_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H12,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H12_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H8_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDM+DUM_H9_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H1_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H2_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H3_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H4_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H5_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H6_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H7_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUH_H9_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUL_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDH+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUH_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL_H9,RES,0.74,0.26,,,,,,,,,
