taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUL/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H1/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H10/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H10/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H10/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H11/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H11/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H11/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H12/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H12/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H12/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H2/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H2/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H2/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H3/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H3/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H3/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H4/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H4/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H4/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H5/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H5/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H5/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H6/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H6/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H6/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H7/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H7/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H7/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H8/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H8/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H8/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H9/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H9/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H9/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H1/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H1/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H10/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H10/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H10/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H11/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H11/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H11/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H12/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H12/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H12/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H2/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H2/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H2/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H3/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H3/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H3/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H4/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H4/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H4/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H5/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H5/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H5/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H6/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H6/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H6/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H7/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H7/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H7/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H8/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H8/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H8/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL+VL100/H9/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H9/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL+VL100/H9/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUM/H1/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H1/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUM/H10/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H10/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H10/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUM/H11/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H11/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H11/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUM/H12/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H12/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H12/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUM/H2/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUM/H2/IND,homeless,structural,0,0,0,0
