taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDH+DUM/H7/RES,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDH+DUM/H8/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H8/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H8/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H9/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H9/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H9/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDL+DUL/H1/COM,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL/H1/IND,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL/H1/RES,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL/H10/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H10/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H10/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H11/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H11/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H11/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H12/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H12/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H12/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H2/COM,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL/H2/IND,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL/H2/RES,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL/H3/COM,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL/H3/IND,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL/H3/RES,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL/H4/COM,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL/H4/IND,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL/H4/RES,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL/H5/COM,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL/H5/IND,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL/H5/RES,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL/H6/COM,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDL+DUL/H6/IND,collapsed,structural,0,0,0,0.060952381
