taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDH+DUM/H7/COM,fatalities,structural,0,0,0,0.011729598
CR/LDUAL+CDH+DUM/H7/IND,fatalities,structural,0,0,0,0.011729598
CR/LDUAL+CDH+DUM/H7/RES,fatalities,structural,0,0,0,0.011729598
CR/LDUAL+CDH+DUM/H8/COM,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDH+DUM/H8/IND,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDH+DUM/H8/RES,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDH+DUM/H9/COM,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDH+DUM/H9/IND,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDH+DUM/H9/RES,fatalities,structural,0,0,0,0.012100006
CR/LDUAL+CDL+DUL/H1/COM,fatalities,structural,0,0,0,0.00796053
CR/LDUAL+CDL+DUL/H1/IND,fatalities,structural,0,0,0,0.00796053
CR/LDUAL+CDL+DUL/H1/RES,fatalities,structural,0,0,0,0.00796053
CR/LDUAL+CDL+DUL/H10/COM,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H10/IND,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H10/RES,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H11/COM,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H11/IND,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H11/RES,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H12/COM,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H12/IND,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H12/RES,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H2/COM,fatalities,structural,0,0,0,0.009747588
CR/LDUAL+CDL+DUL/H2/IND,fatalities,structural,0,0,0,0.009747588
CR/LDUAL+CDL+DUL/H2/RES,fatalities,structural,0,0,0,0.009747588
CR/LDUAL+CDL+DUL/H3/COM,fatalities,structural,0,0,0,0.011318033
CR/LDUAL+CDL+DUL/H3/IND,fatalities,structural,0,0,0,0.011318033
CR/LDUAL+CDL+DUL/H3/RES,fatalities,structural,0,0,0,0.011318033
CR/LDUAL+CDL+DUL/H4/COM,fatalities,structural,0,0,0,0.012671865
CR/LDUAL+CDL+DUL/H4/IND,fatalities,structural,0,0,0,0.012671865
CR/LDUAL+CDL+DUL/H4/RES,fatalities,structural,0,0,0,0.012671865
CR/LDUAL+CDL+DUL/H5/COM,fatalities,structural,0,0,0,0.013809083
CR/LDUAL+CDL+DUL/H5/IND,fatalities,structural,0,0,0,0.013809083
CR/LDUAL+CDL+DUL/H5/RES,fatalities,structural,0,0,0,0.013809083
CR/LDUAL+CDL+DUL/H6/COM,fatalities,structural,0,0,0,0.014729689
CR/LDUAL+CDL+DUL/H6/IND,fatalities,structural,0,0,0,0.014729689
CR/LDUAL+CDL+DUL/H6/RES,fatalities,structural,0,0,0,0.014729689
CR/LDUAL+CDL+DUL/H7/COM,fatalities,structural,0,0,0,0.015433681
CR/LDUAL+CDL+DUL/H7/IND,fatalities,structural,0,0,0,0.015433681
CR/LDUAL+CDL+DUL/H7/RES,fatalities,structural,0,0,0,0.015433681
CR/LDUAL+CDL+DUL/H8/COM,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H8/IND,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H8/RES,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H9/COM,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H9/IND,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL/H9/RES,fatalities,structural,0,0,0,0.015921061
CR/LDUAL+CDL+DUL+VL100/H1/COM,fatalities,structural,0,0,0,0.027980265
CR/LDUAL+CDL+DUL+VL100/H1/IND,fatalities,structural,0,0,0,0.027980265
CR/LDUAL+CDL+DUL+VL100/H1/RES,fatalities,structural,0,0,0,0.027980265
CR/LDUAL+CDL+DUL+VL100/H10/COM,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H10/IND,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H10/RES,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H11/COM,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H11/IND,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H11/RES,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H12/COM,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H12/IND,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H12/RES,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H2/COM,fatalities,structural,0,0,0,0.027730937
CR/LDUAL+CDL+DUL+VL100/H2/IND,fatalities,structural,0,0,0,0.027730937
CR/LDUAL+CDL+DUL+VL100/H2/RES,fatalities,structural,0,0,0,0.027730937
CR/LDUAL+CDL+DUL+VL100/H3/COM,fatalities,structural,0,0,0,0.027373302
CR/LDUAL+CDL+DUL+VL100/H3/IND,fatalities,structural,0,0,0,0.027373302
CR/LDUAL+CDL+DUL+VL100/H3/RES,fatalities,structural,0,0,0,0.027373302
CR/LDUAL+CDL+DUL+VL100/H4/COM,fatalities,structural,0,0,0,0.030335932
CR/LDUAL+CDL+DUL+VL100/H4/IND,fatalities,structural,0,0,0,0.030335932
CR/LDUAL+CDL+DUL+VL100/H4/RES,fatalities,structural,0,0,0,0.030335932
CR/LDUAL+CDL+DUL+VL100/H5/COM,fatalities,structural,0,0,0,0.029571208
CR/LDUAL+CDL+DUL+VL100/H5/IND,fatalities,structural,0,0,0,0.029571208
CR/LDUAL+CDL+DUL+VL100/H5/RES,fatalities,structural,0,0,0,0.029571208
CR/LDUAL+CDL+DUL+VL100/H6/COM,fatalities,structural,0,0,0,0.028698178
CR/LDUAL+CDL+DUL+VL100/H6/IND,fatalities,structural,0,0,0,0.028698178
