PFA_range,PFA_slf
1e-20,0.0
0.05,0.03297416630418767
0.1,0.08059810830325898
0.15000000000000002,0.13190632201583863
0.2,0.1827310254512586
0.25,0.2308073370697092
0.30000000000000004,0.2748943245282012
0.35000000000000003,0.3143947258468432
0.4,0.3491347836085383
0.45,0.379218321189571
0.5,0.4049241561230415
0.55,0.42663261751955645
0.6000000000000001,0.4447731471377088
0.65,0.45978770585872586
0.7000000000000001,0.47210613990482214
0.75,0.4821305455745278
0.8,0.4902262987943676
0.8500000000000001,0.4967179036415352
0.9,0.501888211285671
0.9500000000000001,0.50597988945419
1.0,0.5091982938449287
1.05,0.5117151143171056
1.1,0.5136723463688362
1.1500000000000001,0.515186278183235
1.2000000000000002,0.5163512910407646
1.25,0.5172433515354384
1.3,0.5179231327784947
1.35,0.5184387430915014
1.4000000000000001,0.51882806846562
1.4500000000000002,0.5191207525782692
1.5,0.5193398481152859
1.55,0.5195031777144632
1.6,0.5196244437219382
1.6500000000000001,0.5197141244304184
1.7000000000000002,0.5197801915078927
1.75,0.5198286796182663
1.8,0.5198641352606261
1.85,0.5198899679289387
1.9000000000000001,0.5199087230154418
1.9500000000000002,0.5199222925579661
2.0,0.5199320770119292
2.0500000000000003,0.5199391087188296
2.1,0.519944145625881
2.15,0.5199477420521423
2.2,0.5199503018540302
2.25,0.519952118174222
2.3000000000000003,0.5199534030207458
2.35,0.519954309178704
2.4000000000000004,0.5199549463710637
2.45,0.519955393127275
2.5,0.5199557054637336
2.5500000000000003,0.519955923207015
2.6,0.5199560745820117
2.6500000000000004,0.5199561795284046
2.7,0.5199562520890226
2.75,0.5199563021235809
2.8000000000000003,0.5199563365339901
2.85,0.5199563601374034
2.9000000000000004,0.5199563762861592
2.95,0.5199563873065304
3.0,0.5199563948082269
3.0500000000000003,0.5199563999020242
3.1,0.5199564033523109
3.1500000000000004,0.5199564056836856
3.2,0.5199564072552209
3.25,0.5199564083120447
3.3000000000000003,0.519956409021065
3.35,0.519956409495638
3.4000000000000004,0.5199564098125555
3.45,0.5199564100237091
3.5,0.5199564101640776
3.5500000000000003,0.5199564102571818
3.6,0.5199564103187996
3.6500000000000004,0.5199564103594899
3.7,0.5199564103863022
3.75,0.5199564104039316
3.8000000000000003,0.5199564104154986
3.85,0.5199564104230718
3.9000000000000004,0.5199564104280199
3.95,0.5199564104312459
4.0,0.5199564104333451
4.05,0.5199564104347081
4.1000000000000005,0.5199564104355914
4.15,0.5199564104361625
4.2,0.5199564104365313
4.25,0.5199564104367688
4.3,0.5199564104369214
4.3500000000000005,0.5199564104370195
4.4,0.5199564104370822
4.45,0.5199564104371223
4.5,0.5199564104371479
4.55,0.5199564104371641
4.6000000000000005,0.5199564104371746
4.65,0.5199564104371811
4.7,0.5199564104371852
4.75,0.5199564104371879
4.800000000000001,0.5199564104371895
4.8500000000000005,0.5199564104371907
4.9,0.5199564104371913
4.95,0.5199564104371917
5.0,0.519956410437192
5.050000000000001,0.519956410437192
5.1000000000000005,0.5199564104371922
5.15,0.5199564104371923
5.2,0.5199564104371923
5.25,0.5199564104371923
5.300000000000001,0.5199564104371923
5.3500000000000005,0.5199564104371923
5.4,0.5199564104371923
5.45,0.5199564104371923
5.5,0.5199564104371923
5.550000000000001,0.5199564104371923
5.6000000000000005,0.5199564104371923
5.65,0.5199564104371923
5.7,0.5199564104371923
5.75,0.5199564104371923
5.800000000000001,0.5199564104371923
5.8500000000000005,0.5199564104371923
5.9,0.5199564104371923
5.95,0.5199564104371923
6.0,0.5199564104371923
6.050000000000001,0.5199564104371923
6.1000000000000005,0.5199564104371923
6.15,0.5199564104371923
6.2,0.5199564104371923
6.25,0.5199564104371923
6.300000000000001,0.5199564104371923
6.3500000000000005,0.5199564104371923
6.4,0.5199564104371923
6.45,0.5199564104371923
6.5,0.5199564104371923
6.550000000000001,0.5199564104371923
6.6000000000000005,0.5199564104371923
6.65,0.5199564104371923
6.7,0.5199564104371923
6.75,0.5199564104371923
6.800000000000001,0.5199564104371923
6.8500000000000005,0.5199564104371923
6.9,0.5199564104371923
6.95,0.5199564104371923
7.0,0.5199564104371923
7.050000000000001,0.5199564104371923
7.1000000000000005,0.5199564104371923
7.15,0.5199564104371923
7.2,0.5199564104371923
7.25,0.5199564104371923
7.300000000000001,0.5199564104371923
7.3500000000000005,0.5199564104371923
7.4,0.5199564104371923
7.45,0.5199564104371923
7.5,0.5199564104371923
7.550000000000001,0.5199564104371923
7.6000000000000005,0.5199564104371923
7.65,0.5199564104371923
7.7,0.5199564104371923
7.75,0.5199564104371923
7.800000000000001,0.5199564104371923
7.8500000000000005,0.5199564104371923
7.9,0.5199564104371923
7.95,0.5199564104371923
8.0,0.5199564104371923
8.05,0.5199564104371923
8.1,0.5199564104371923
8.15,0.5199564104371923
8.200000000000001,0.5199564104371923
8.25,0.5199564104371923
8.3,0.5199564104371923
8.35,0.5199564104371923
8.4,0.5199564104371923
8.450000000000001,0.5199564104371923
8.5,0.5199564104371923
8.55,0.5199564104371923
8.6,0.5199564104371923
8.65,0.5199564104371923
8.700000000000001,0.5199564104371923
8.75,0.5199564104371923
8.8,0.5199564104371923
8.85,0.5199564104371923
8.9,0.5199564104371923
8.950000000000001,0.5199564104371923
9.0,0.5199564104371923
9.05,0.5199564104371923
9.1,0.5199564104371923
9.15,0.5199564104371923
9.200000000000001,0.5199564104371923
9.25,0.5199564104371923
9.3,0.5199564104371923
9.35,0.5199564104371923
9.4,0.5199564104371923
9.450000000000001,0.5199564104371923
9.5,0.5199564104371923
9.55,0.5199564104371923
