PSD_range,PSD_slf
1e-20,0.0
0.001,0.0066128394141122164
0.002,0.02093294426480833
0.003,0.040801875968497985
0.004,0.06511216420729626
0.005,0.09302912539810138
0.006,0.12384907620757987
0.007,0.15695046519345307
0.008,0.19177341701352874
0.009000000000000001,0.22781035945976005
0.01,0.2646014892588556
0.011,0.30173241330958367
0.012,0.3388327040901534
0.013000000000000001,0.3755747356248605
0.014,0.41167247678196195
0.015,0.4468800841519046
0.016,0.48099022992014606
0.017,0.513832154394432
0.018000000000000002,0.5452694647171696
0.019,0.5751977195465828
0.02,0.6035418490568579
0.021,0.630253463435927
0.022,0.6553081030187825
0.023,0.6787024805359949
0.024,0.7004517615614902
0.025,0.7205869237543217
0.026000000000000002,0.7391522293898282
0.027,0.7562028393353382
0.028,0.7718025903265515
0.029,0.7860219513561408
0.03,0.7989361693528746
0.031,0.8106236092175985
0.032,0.8211642887623962
0.033,0.8306386052088712
0.034,0.8391262466513536
0.035,0.8467052792694711
0.036000000000000004,0.8534513990531952
0.037,0.8594373353402655
0.038,0.8647323925096785
0.039,0.8694021156685156
0.04,0.8735080660525355
0.041,0.8771076920727381
0.042,0.8802542824209153
0.043000000000000003,0.8829969883403005
0.044,0.8853809030201698
0.045,0.8874471870378619
0.046,0.889233229805838
0.047,0.8907728380484318
0.048,0.8920964434018629
0.049,0.8932313222764741
0.05,0.8942018221218109
0.051000000000000004,0.8950295891777299
0.052000000000000005,0.8957337936672064
0.053,0.8963313491817495
0.054,0.8968371237244966
0.055,0.8972641405080747
0.056,0.8976237671554037
0.057,0.897925892424784
0.058,0.8981790899802231
0.059000000000000004,0.8983907690593685
0.06,0.898567312160586
0.061,0.8987142000839907
0.062,0.8988361248250184
0.063,0.8989370909397716
0.064,0.8990205060849555
0.065,0.8990892614875204
0.066,0.8991458031254349
0.067,0.8991921944061674
0.068,0.8992301711177936
0.069,0.8992611894029743
0.07,0.8992864674716801
0.07100000000000001,0.8993070217273105
0.07200000000000001,0.8993236979351487
0.073,0.8993371980138785
0.074,0.8993481029817544
0.075,0.8993568925402525
0.076,0.8993639617305772
0.077,0.8993696350530148
0.078,0.8993741783963123
0.079,0.8993778090843377
0.08,0.8993807043104801
0.081,0.8993830081966045
0.082,0.8993848376829043
0.083,0.8993862874275893
0.084,0.899387433870889
0.085,0.8993883385961484
0.08600000000000001,0.899389051101662
0.08700000000000001,0.8993896110801387
0.088,0.8993900502880572
0.089,0.89939039407451
0.09,0.8993906626281853
0.091,0.8993908719917388
0.092,0.8993910348847782
0.093,0.8993911613698271
0.094,0.899391259389842
0.095,0.8993913352009532
0.096,0.8993913937199731
0.097,0.8993914388027655
0.098,0.8993914734666784
0.099,0.8993915000678492
0.1,0.8993915204421931
0.101,0.8993915360172448
0.10200000000000001,0.8993915479006677
0.10300000000000001,0.8993915569501337
0.10400000000000001,0.8993915638283658
0.105,0.8993915690463917
0.106,0.8993915729974568
0.107,0.8993915759835516
0.108,0.8993915782361176
0.109,0.8993915799321678
0.11,0.8993915812068151
0.111,0.8993915821629833
0.112,0.8993915828789197
0.113,0.8993915834139924
0.114,0.8993915838131573
0.115,0.8993915841103893
0.116,0.8993915843313144
0.117,0.8993915844952238
0.11800000000000001,0.8993915846166111
0.11900000000000001,0.8993915847063451
0.12,0.8993915847725603
0.121,0.8993915848213331
0.122,0.8993915848571936
0.123,0.8993915848835135
0.124,0.8993915849027962
0.125,0.8993915849168985
0.126,0.8993915849271937
0.127,0.8993915849346965
0.128,0.8993915849401545
0.129,0.8993915849441183
0.13,0.8993915849469916
0.131,0.8993915849490709
0.132,0.8993915849505728
0.133,0.8993915849516563
0.134,0.8993915849524359
0.135,0.8993915849529964
0.136,0.8993915849533983
0.137,0.8993915849536863
0.138,0.8993915849538924
0.139,0.8993915849540391
0.14,0.8993915849541438
0.14100000000000001,0.8993915849542182
0.14200000000000002,0.8993915849542713
0.14300000000000002,0.8993915849543088
0.14400000000000002,0.8993915849543354
0.145,0.8993915849543539
0.146,0.8993915849543672
0.147,0.8993915849543764
0.148,0.899391584954383
0.149,0.8993915849543878
0.15,0.899391584954391
0.151,0.8993915849543932
0.152,0.8993915849543948
0.153,0.8993915849543958
0.154,0.8993915849543965
0.155,0.899391584954397
0.156,0.8993915849543975
0.157,0.8993915849543977
0.158,0.899391584954398
0.159,0.899391584954398
0.16,0.8993915849543982
0.161,0.8993915849543982
0.162,0.8993915849543982
0.163,0.8993915849543982
0.164,0.8993915849543984
0.165,0.8993915849543984
0.166,0.8993915849543984
0.167,0.8993915849543984
0.168,0.8993915849543984
0.169,0.8993915849543984
0.17,0.8993915849543984
0.171,0.8993915849543984
0.17200000000000001,0.8993915849543984
0.17300000000000001,0.8993915849543984
0.17400000000000002,0.8993915849543984
0.17500000000000002,0.8993915849543984
0.176,0.8993915849543984
0.177,0.8993915849543984
0.178,0.8993915849543984
0.179,0.8993915849543984
0.18,0.8993915849543984
0.181,0.8993915849543984
0.182,0.8993915849543984
0.183,0.8993915849543984
0.184,0.8993915849543984
0.185,0.8993915849543984
0.186,0.8993915849543984
0.187,0.8993915849543984
0.188,0.8993915849543984
0.189,0.8993915849543984
0.19,0.8993915849543984
0.191,0.8993915849543984
0.192,0.8993915849543984
0.193,0.8993915849543984
0.194,0.8993915849543984
0.195,0.8993915849543984
0.196,0.8993915849543984
0.197,0.8993915849543984
0.198,0.8993915849543984
0.199,0.8993915849543984
0.2,0.8993915849543984
