PSD_range,PSD_slf
1e-20,0.0
0.001,0.00010617907528339489
0.002,0.0004695101659901882
0.003,0.0011183768839466391
0.004,0.0020664792452017677
0.005,0.0033204100600529238
0.006,0.00488163678856023
0.007,0.006747380512336781
0.008,0.008911124900929794
0.009000000000000001,0.011362980655287592
0.01,0.014089994107577728
0.011,0.017076439587230572
0.012,0.02030411407361428
0.013000000000000001,0.023752642312770838
0.014,0.027399794959177014
0.015,0.03122181901115467
0.016,0.03519377778194359
0.017,0.039289896383448694
0.018000000000000002,0.0434839079394226
0.019,0.047749395349310705
0.02,0.05206012331046183
0.021,0.056390355420812784
0.022,0.06071515148662661
0.023,0.06501064061737055
0.024,0.06925426627241474
0.025,0.07342500010329028
0.026000000000000002,0.07750352218277173
0.027,0.08147236600066246
0.028,0.08531602740937973
0.029,0.08902103749517856
0.03,0.0925760001099865
0.031,0.09597159550371334
0.032,0.0992005521298921
0.033,0.10225758924431512
0.034,0.10513933336628489
0.035,0.10784421201829919
0.036000000000000004,0.11037232839926647
0.037,0.11272532077913698
0.038,0.11490621043290808
0.039,0.11691924186604889
0.04,0.118769718930738
0.041,0.12046384020415263
0.042,0.12200853670908357
0.043000000000000003,0.12341131471694858
0.044,0.12468010599776479
0.045,0.12582312748457042
0.046,0.12684875191428924
0.047,0.12776539060521777
0.048,0.1285813891439624
0.049,0.1293049363909712
0.05,0.12994398688127112
0.051000000000000004,0.1305061964013375
0.052000000000000005,0.13099887026808568
0.053,0.1314289236239705
0.054,0.13180285289370458
0.055,0.13212671742233295
0.056,0.13240613022928624
0.057,0.13264625676554795
0.058,0.13285182054741793
0.059000000000000004,0.13302711455621472
0.06,0.13317601733400436
0.061,0.13330201276633566
0.062,0.1334082126193315
0.063,0.13349738098588376
0.064,0.1335719598900081
0.065,0.13363409539594576
0.066,0.13368566366614862
0.067,0.13372829650715665
0.068,0.1337634060324143
0.069,0.13379220815461362
0.07,0.13381574469602878
0.07100000000000001,0.13383490397277872
0.07200000000000001,0.1338504397676821
0.073,0.13386298865632304
0.074,0.13387308569239337
0.075,0.13388117849177442
0.076,0.13388763978079835
0.077,0.13389277849341524
0.078,0.13389684951538125
0.079,0.1339000621818881
0.08,0.1339025876390853
0.081,0.1339045651804729
0.082,0.13390610766688324
0.083,0.1339073061343798
0.084,0.13390823368845536
0.085,0.1339089487759136
0.08600000000000001,0.13390949791818776
0.08700000000000001,0.13390991798193938
0.088,0.13391023805486374
0.089,0.1339104809869251
0.09,0.1339106646499103
0.091,0.1339108029613385
0.092,0.13391090671246303
0.093,0.13391098423438924
0.094,0.1339110419312193
0.095,0.13391108470460697
0.096,0.133911116290144
0.097,0.1339111395225623
0.098,0.13391115654378308
0.099,0.13391116896533078
0.1,0.1339111779945046
0.101,0.13391118453192147
0.10200000000000001,0.1339111892465639
0.10300000000000001,0.133911192633245
0.10400000000000001,0.13391119505640084
0.105,0.13391119678330574
0.106,0.13391119800914653
0.107,0.13391119887586247
0.108,0.13391119948623514
0.109,0.13391119991437683
0.11,0.1339112002135017
0.111,0.13391120042165755
0.112,0.13391120056593364
0.113,0.13391120066553566
0.114,0.13391120073402277
0.115,0.13391120078092722
0.116,0.13391120081292232
0.117,0.13391120083466004
0.11800000000000001,0.13391120084936983
0.11900000000000001,0.133911200859284
0.12,0.1339112008659393
0.121,0.13391120087038896
0.122,0.13391120087335207
0.123,0.13391120087531733
0.124,0.13391120087661554
0.125,0.13391120087746966
0.126,0.13391120087802932
0.127,0.1339112008783946
0.128,0.13391120087863204
0.129,0.13391120087878575
0.13,0.13391120087888483
0.131,0.13391120087894848
0.132,0.13391120087898917
0.133,0.1339112008790151
0.134,0.13391120087903152
0.135,0.13391120087904193
0.136,0.13391120087904848
0.137,0.13391120087905256
0.138,0.13391120087905514
0.139,0.13391120087905672
0.14,0.1339112008790577
0.14100000000000001,0.1339112008790583
0.14200000000000002,0.13391120087905867
0.14300000000000002,0.1339112008790589
0.14400000000000002,0.13391120087905906
0.145,0.13391120087905914
0.146,0.13391120087905917
0.147,0.13391120087905922
0.148,0.13391120087905922
0.149,0.13391120087905925
0.15,0.13391120087905925
0.151,0.13391120087905925
0.152,0.13391120087905925
0.153,0.13391120087905925
0.154,0.13391120087905925
0.155,0.13391120087905925
0.156,0.13391120087905925
0.157,0.13391120087905925
0.158,0.13391120087905925
0.159,0.13391120087905925
0.16,0.13391120087905925
0.161,0.13391120087905925
0.162,0.13391120087905925
0.163,0.13391120087905925
0.164,0.13391120087905925
0.165,0.13391120087905925
0.166,0.13391120087905925
0.167,0.13391120087905925
0.168,0.13391120087905925
0.169,0.13391120087905925
0.17,0.13391120087905925
0.171,0.13391120087905925
0.17200000000000001,0.13391120087905925
0.17300000000000001,0.13391120087905925
0.17400000000000002,0.13391120087905925
0.17500000000000002,0.13391120087905925
0.176,0.13391120087905925
0.177,0.13391120087905925
0.178,0.13391120087905925
0.179,0.13391120087905925
0.18,0.13391120087905925
0.181,0.13391120087905925
0.182,0.13391120087905925
0.183,0.13391120087905925
0.184,0.13391120087905925
0.185,0.13391120087905925
0.186,0.13391120087905925
0.187,0.13391120087905925
0.188,0.13391120087905925
0.189,0.13391120087905925
0.19,0.13391120087905925
0.191,0.13391120087905925
0.192,0.13391120087905925
0.193,0.13391120087905925
0.194,0.13391120087905925
0.195,0.13391120087905925
0.196,0.13391120087905925
0.197,0.13391120087905925
0.198,0.13391120087905925
0.199,0.13391120087905925
0.2,0.13391120087905925
