PSD_range,PSD_slf
1e-20,0.0
0.001,0.0012198941937176062
0.002,0.005117424965424787
0.003,0.011793246799330796
0.004,0.021234537110698747
0.005,0.033359105495736265
0.006,0.048028599757412575
0.007,0.0650568190089105
0.008,0.08421702009439452
0.009000000000000001,0.10524923457341068
0.01,0.12786784088169684
0.011,0.15176935592042007
0.012,0.17664029201892154
0.013000000000000001,0.20216487554131338
0.014,0.22803240976667308
0.015,0.25394407334789865
0.016,0.2796189695073015
0.017,0.3047992754774891
0.018000000000000002,0.3292543828423637
0.019,0.3527839641332491
0.02,0.3752199463661178
0.021,0.39642741557296995
0.022,0.4163045155795836
0.023,0.4347814375674609
0.024,0.45181862309270937
0.025,0.4674043215116164
0.026000000000000002,0.4815516529935298
0.027,0.4942953307750983
0.028,0.5056881917233175
0.029,0.5157976736463612
0.03,0.5247023623606103
0.031,0.5324887126484416
0.032,0.5392480263040197
0.033,0.5450737487772672
0.034,0.5500591246656145
0.035,0.5542952324553008
0.036000000000000004,0.5578694012426597
0.037,0.5608639971991372
0.038,0.5633555555788583
0.039,0.5654142251893733
0.04,0.5671034863575576
0.041,0.5684801002809017
0.042,0.56959424691159
0.043000000000000003,0.5704898097632105
0.044,0.5712047688151933
0.045,0.5717716665786549
0.046,0.5722181169680799
0.047,0.572567331532061
0.048,0.5728386425277382
0.049,0.5730480070365171
0.05,0.57320848063656
0.051000000000000004,0.5733306529544742
0.052000000000000005,0.5734230406522877
0.053,0.573492436048823
0.054,0.5735442116448641
0.055,0.5735825823627759
0.056,0.5736108283840494
0.057,0.573631482142387
0.058,0.5736464833779862
0.059000000000000004,0.5736573062511076
0.06,0.5736650624147145
0.061,0.5736705837140772
0.062,0.5736744878639285
0.063,0.5736772300900628
0.064,0.5736791433424479
0.065,0.573680469313202
0.066,0.5736813821405844
0.067,0.5736820063590863
0.068,0.5736824303709451
0.069,0.5736827164676013
0.07,0.5736829082200439
0.07100000000000001,0.573683035882212
0.07200000000000001,0.5736831203082642
0.073,0.5736831757687145
0.074,0.5736832119582129
0.075,0.5736832354152718
0.076,0.5736832505180159
0.077,0.5736832601769439
0.078,0.5736832663130397
0.079,0.573683270185124
0.08,0.5736832726122162
0.081,0.5736832741233946
0.082,0.573683275058009
0.083,0.5736832756321725
0.084,0.5736832759825403
0.085,0.5736832761949124
0.08600000000000001,0.5736832763227782
0.08700000000000001,0.5736832763992489
0.088,0.5736832764446761
0.089,0.5736832764714812
0.09,0.5736832764871921
0.091,0.5736832764963387
0.092,0.5736832765016281
0.093,0.5736832765046662
0.094,0.5736832765063997
0.095,0.573683276507382
0.096,0.573683276507935
0.097,0.5736832765082442
0.098,0.5736832765084159
0.099,0.5736832765085106
0.1,0.5736832765085625
0.101,0.5736832765085907
0.10200000000000001,0.5736832765086061
0.10300000000000001,0.5736832765086143
0.10400000000000001,0.5736832765086186
0.105,0.5736832765086209
0.106,0.5736832765086222
0.107,0.5736832765086228
0.108,0.5736832765086232
0.109,0.5736832765086233
0.11,0.5736832765086234
0.111,0.5736832765086234
0.112,0.5736832765086235
0.113,0.5736832765086235
0.114,0.5736832765086235
0.115,0.5736832765086235
0.116,0.5736832765086235
0.117,0.5736832765086235
0.11800000000000001,0.5736832765086235
0.11900000000000001,0.5736832765086235
0.12,0.5736832765086235
0.121,0.5736832765086235
0.122,0.5736832765086235
0.123,0.5736832765086235
0.124,0.5736832765086235
0.125,0.5736832765086235
0.126,0.5736832765086235
0.127,0.5736832765086235
0.128,0.5736832765086235
0.129,0.5736832765086235
0.13,0.5736832765086235
0.131,0.5736832765086235
0.132,0.5736832765086235
0.133,0.5736832765086235
0.134,0.5736832765086235
0.135,0.5736832765086235
0.136,0.5736832765086235
0.137,0.5736832765086235
0.138,0.5736832765086235
0.139,0.5736832765086235
0.14,0.5736832765086235
0.14100000000000001,0.5736832765086235
0.14200000000000002,0.5736832765086235
0.14300000000000002,0.5736832765086235
0.14400000000000002,0.5736832765086235
0.145,0.5736832765086235
0.146,0.5736832765086235
0.147,0.5736832765086235
0.148,0.5736832765086235
0.149,0.5736832765086235
0.15,0.5736832765086235
0.151,0.5736832765086235
0.152,0.5736832765086235
0.153,0.5736832765086235
0.154,0.5736832765086235
0.155,0.5736832765086235
0.156,0.5736832765086235
0.157,0.5736832765086235
0.158,0.5736832765086235
0.159,0.5736832765086235
0.16,0.5736832765086235
0.161,0.5736832765086235
0.162,0.5736832765086235
0.163,0.5736832765086235
0.164,0.5736832765086235
0.165,0.5736832765086235
0.166,0.5736832765086235
0.167,0.5736832765086235
0.168,0.5736832765086235
0.169,0.5736832765086235
0.17,0.5736832765086235
0.171,0.5736832765086235
0.17200000000000001,0.5736832765086235
0.17300000000000001,0.5736832765086235
0.17400000000000002,0.5736832765086235
0.17500000000000002,0.5736832765086235
0.176,0.5736832765086235
0.177,0.5736832765086235
0.178,0.5736832765086235
0.179,0.5736832765086235
0.18,0.5736832765086235
0.181,0.5736832765086235
0.182,0.5736832765086235
0.183,0.5736832765086235
0.184,0.5736832765086235
0.185,0.5736832765086235
0.186,0.5736832765086235
0.187,0.5736832765086235
0.188,0.5736832765086235
0.189,0.5736832765086235
0.19,0.5736832765086235
0.191,0.5736832765086235
0.192,0.5736832765086235
0.193,0.5736832765086235
0.194,0.5736832765086235
0.195,0.5736832765086235
0.196,0.5736832765086235
0.197,0.5736832765086235
0.198,0.5736832765086235
0.199,0.5736832765086235
0.2,0.5736832765086235
